Country ,Business,Year Founded,Category
Algeria,Hamoud Boualem,1878,Food & Beverages
Angola,NULL,NULL,NULL
Benin,Communauté Électrique du Bénin,1968,Energy (Electricity Supply)
Botswana,Botswana Meat Commission,1965,Agriculture (Meat Production)
Burkina Faso,Air Burkina,1967,Aviation & Transport (Airline)
Burundi,Brarudi,1955,"Distillers, Vintners, & Breweries (Brewery)"
Cameroon,Cameroon Development Corporation,1947,Agricultural (Agricultural Development)
Cape Verde,Correios de Cabo Verde,1849,Postal Service
Central Africa Republic,Banque Internationale pour la Centrafrique,1946,Banking & Finance 
Chad,Cotontchad,1971,Agricultural (Agricultural Development)
Comoros,Central Bank of the Comoros,1981,Banking & Finance 
Congo (Democratic Republic of the: Kinshasa),Société nationale des Chemins de fer du Congo,1889,Aviation & Transport (Railways)
Congo (Republic of the: Brazzaville),Development Bank of the Central African States,1975,Banking & Finance 
Cote d’Ivoire (Ivory Coast),La Poste,1945,Postal Service
Djibouti,Ethio-Djibouti Railways,1901,Aviation & Transport (Railways)
Egypt,Egyptian National Railways,1854,Aviation & Transport (Railways)
Equatorial Guinea,Guinea Ecuatorial Airlines,1996,Aviation & Transport (Airline)
Eritrea,Asmara Brewery,1939,"Distillers, Vintners, & Breweries (Brewery)"
Ethiopia,National Bank of Ethiopia,1906,Banking & Finance 
Gabon,BGFIBank Group,1971,Banking & Finance 
Ghana,NULL,NULL,NULL
Guinea,Halco Mining,1962,Mining (Aluminium)
Guinea-Bissau,Correios da Guiné-Bissau,1973,Postal Service
Kenya,KCB Group Limited,1896,Banking & Finance 
Lesotho,Central Bank of Lesotho,1978,Banking & Finance 
Liberia,National Port Authority,1921,Aviation & Transport (Ports / Shipping)
Libya,Umma Bank,1907,Banking & Finance 
Madagascar,Air Madagascar,1962,Aviation & Transport (Airline)
Malawi,Malawi Broadcasting Corporation,1964,Media (Broadcasting)
Mali,Office de Radiodiffusion-Télévision du Mali,1957,Media (Broadcasting)
Mauritania,Central Bank of Mauritania,1973,Banking & Finance 
Mauritius,Mauritius Post,1772,Postal Service
Morocco,Attijariwafa Bank,1904,Banking & Finance 
Mozambique,Beira Railroad Corporation,1892,Aviation and Transport (Railways)
Namibia,NamPost,1814,Postal Service
Niger,Office of Radio and Television of Niger,1960,Media (Broadcasting)
Nigeria,First Bank of Nigeria,1894,Banking & Finance 
Rwanda,National Post Office,1922,Postal Service
Sao Tome and Principe,Central Bank of São Tomé and Príncipe,1975,Banking & Finance 
Senegal,Dakar–Niger Railway,1924,Aviation & Transport (Railways)
Seychelles,Air Seychelles,1977,Aviation & Transport (Airline)
Sierra Leone,Rokel Commercial Bank,1917,Banking & Finance 
Somalia,Radio Mogadishu,1943,Media (Broadcasting)
South Africa,Premier FMCG,1820,Manufacturing & Production (Food Manufacturing)
South Sudan,Ivory Bank,1994,Banking & Finance 
Sudan,Bank of Khartoum,1913,Banking & Finance 
Swaziland (Eswatini),Swazi Rail,1963,Aviation & Transport (Railways)
Tanzania,Tanzania Breweries Limited,1933,"Distillers, Vintners, & Breweries (Brewery)"
The Gambia,NULL,NULL,NULL
Togo,La Poste du Togo,1883,Postal Service
Tunisia,La Poste Tunisienne,1847,Postal Service
Uganda,Stanbic Bank Uganda Limited,1906,Banking & Finance 
Zambia,ZamPost,1896,Postal Service
Zimbabwe,Standard Chartered Zimbabwe,1892,Banking & Finance 
Afghanistan,Spinzar Cotton Company,1930,Agriculture
Azerbaijan,Azerbaijan Caspian Shipping Company,1858,Aviation & Transport(Shipping)
Bahrain,BMMI,1883,Retail
Bangladesh,M. M. Ispahani Limited,1820,Food & Beverages
Bhutan,Tashi Group,1959,Aviation & Transport (Airline)
Brunei,Hua Ho Department Store,1947,Retail
Cambodia,National Bank of Cambodia,1954,Banking & Finance 
China (People's Republic of China),Ma Yu Ching's Bucket Chicken House,1153,Service Industry (Restaurant)
Georgia,Bank of Georgia,1903,Banking and Finance 
India,Wadia Group,1736,Manufacturing & Production (Textiles)
Indonesia,Pindad,1808,Defense 
Iran,NULL,NULL,NULL
Iraq,North Oil Company,1928,Energy (Oil & Gas)
Israel,Café Abu Salem,1914,Service Industry 
Japan,Kongō Gumi,578,Construction
Jordan,Arab Bank,1930,Banking & Finance 
Kazakhstan,Bogatyr Access Komir,1913,Mining
Kuwait,M.H. Alshaya Co.,1890,Retail
Kyrgyzstan,NULL,NULL,NULL
Laos,Electricite du Laos,1959,Energy (Electricity Supply)
Lebanon (Republic of Lebanon),Bank Audi,1830,Banking & Finance 
Malaysia,Pos Malaysia,1800,Postal Service
Maldives,NULL,NULL,NULL
Mongolia ,Mongolian National Broadcaster,1931,Media (Broadcasting)
Myanmar (Burma),Myanmar National Airlines,1948,Aviation & Transport (Airline)
Nepal,Nepal Bank Limited,1937,Banking & Finance 
North Korea (Democratic People's Republic of Korea),Kim Chong-t'ae Electric Locomotive Works,1945,Aviation & Transport (Railways)
Oman,Petroleum Development Oman,1937,Energy (Oil & Gas)
Pakistan,House of Habib,1841,Conglomerate: Auto / Building / Packaging
Palestine,NULL,NULL,NULL
Philippines,Destileria Limtuaco,1853,"Distillers, Vintners, & Breweries"
Qatar,Salam International Investment Limited,1952,Conglomerate: Construction / Consumer Goods / Energy
Russia,Petrodvorets Watch Factory,1721,Consumer Goods
Saudi Arabia,House of Alireza,1845,Construction
Singapore,Singapore Post,1819,Postal Service
South Korea,KT Corporation,1885,Telecommunications
Sri Lanka,George Steuart Group,1835,Food & Beverages
Syria,Bakdash,1885,Service Industry (Ice Cream Parlor)
Taiwan (Republic of China),Bank of Taiwan,1897,Banking & Finance 
Tajikistan,NULL,NULL,NULL
Thailand,B.Grimm Group,1878,Conglomerate: Energy / Healthcare / Transport / Real Estate
Timor-Leste (East Timor),NULL,NULL,NULL
Turkmenistan,NULL,NULL,NULL
United Arab Emirates,Liwa Chemicals,1939,Manufacturing & Production (Petroleum & Industrial Supplies)
Uzbekistan,Tashkent Aviation Production Association,1932,Manufacturing & Production (Aircraft Production)
Vietnam,Vietnam Railways,1881,Aviation & Transport (Railways)
Yemen,Yemenia Airways,1962,Aviation & Transport (Airline)
Albania,ALBtelecom,1912,Telecommunications
Andorra,Andbank,1930,Banking & Finance 
Armenia,Yerevan Ararat Brandy-Wine-Vodka Factory,1877,"Distillers, Vintners, & Breweries (Distillery)"
Austria,St. Peter Stifts Kulinarium,803,Service Industry (Restaurant)
Belarus,Olivaria Brewery,1864,"Distillers, Vintners, & Breweries (Brewery)"
Belgium,Affligem Brewery,1074,"Distillers, Vintners, & Breweries (Brewery)"
Bosnia and Herzegovina,Sarajevska Pivara,1864,"Distillers, Vintners, & Breweries (Brewery)"
Bulgaria,Arsenal AD,1878,Defense
Croatia,Kraljevica Shipyard,1729,"Manufacturing & Production (Shipyard)
"
Cyprus,Bank of Cyprus,1899,Banking & Finance 
Czech Republic,Pivovar Broumov,1348,"Distillers, Vintners, & Breweries (Brewery)"
Denmark,Munke Mølle,1135,Manufacturing & Production (Flour Mill)
England ,The Royal Mint,886,Manufacturing & Production (Mint)
Estonia,Raeapteek,1422,Medical (Pharmacy)
Finland,Fiskars,1649,Consumer Goods
France,Monnaie de Paris ,864,Manufacturing & Production (Mint)
Germany,Staffelter Hof Winery,862,"Distillers, Vintners, & Breweries (Winery)"
Greece,Piraeus Bank,1606,Banking & Finance 
Hungary,Zwack,1790,"Distillers, Vintners, & Breweries (Distiller)"
Iceland,Íslandspóstur,1776,Postal service
Ireland,Sean's Bar,900,Service Industry (Pub)
Italy,Marinelli Bell Foundry,1040,Manufacturing & Production (Bell foundry)
Kosovo,Meridian Corporation,1999,Media (Advertising)
Latvia,Cēsu Alus,1590,"Distillers, Vintners, & Breweries (Brewery)"
Liechtenstein,National Bank of Liechtenstein,1861,Banking & Finance 
Lithuania,Gubernija,1665,"Distillers, Vintners, & Breweries (Brewery)"
Luxembourg,Mousel,1511,"Distillers, Vintners, & Breweries (Brewery)"
Malta,HSBC Bank Malta,1882,Banking & Finance 
Moldova,NULL,NULL,NULL
Monaco,NULL,NULL,NULL
Montenegro,Pošta Crne Gore,1841,Postal service
Netherlands,The Brand Brewery,1340,"Distillers, Vintners, & Breweries (Brewery)"
North Macedonia,Tutunski kombinat Prilep,1873,Consumer Goods (Tobacco)
Norway,Posten Norge,1647,Postal service
Poland,Bochnia Salt Mine,1248,Mine (Salt)
Portugal,CTT-Correios de Portugal SA,1520,Postal service
Romania,Ursus Breweries,1878,"Distillers, Vintners, & Breweries (Brewery)"
Scotland ,Bank of Scotland,1695,Banking & Finance 
Serbia,Apatin Brewery,1756,"Distillers, Vintners, & Breweries (Brewery)"
Slovakia,Kremnica Mint,1328,Manufacturing & Production (Mint)
Slovenia,Gostilna Gastuž,1467,Tourism & Hotels (Hotel)
Spain,Casa de Ganaderos,1218,Agriculture (Sheep Farming Cooperative)
Sweden,Skyllbergs bruk,1346,Manufacturing & Production (Iron and Steel Processing)
Switzerland,Gasthof Sternen,1230,Tourism & Hotels (Hotel)
Turkey,Çemberlitaş Hamamı,1584,Service Industry (Turkish Bath)
Ukraine,Drohobych salt plant,1250,Manufacturing & Production (Salt Production)
Antigua and Barbuda,NULL,NULL,NULL
Bahamas,NULL,NULL,NULL
Barbados,Mount Gay Rum,1703,"Distillers, Vintners, & Breweries (Distillery)"
Belize,Belize Bank,1902,Banking & Finance 
Canada,Hudson's Bay Company,1670,Retail
Costa Rica,Florida Ice and Farm Company,1908,"Distillers, Vintners, & Breweries (Brewery)"
Cuba,Cubana de Aviación,1929,Aviation & Transport (Airline)
Dominica,The Chronicle (Dominica),1909,Media (Newspaper)
El Salvador,HSBC El Salvador,1891,Banking & Finance 
Grenada,NULL,NULL,NULL
Guatemala,Corporación Multi Inversiones,1920,Food & Beverages
Haiti,Rhum Barbancourt,1862,"Distillers, Vintners, & Breweries (Distillery)"
Honduras,National Railroad of Honduras,1870,Aviation & Transport 
Jamaica,Rose Hall,1770,Tourism & Hotels
Mexico,La Casa de Moneda de México,1534,Manufacturing & Production (Mint)
Nicaragua,Flor de Caña,1890,"Distillers, Vintners, & Breweries (Distillery)"
Panama,National Bank of Panama,1904,Banking & Finance 
Saint Kitts and Nevis,NULL,NULL,NULL
Saint Lucia,1st National Bank of St Lucia,1938,Banking & Finance 
Saint Vincent and the Grenadines,NULL,NULL,NULL
Trinidad and Tobago,House of Angostura,1830,"Distillers, Vintners, & Breweries (Distillery)"
United States of America,Shirley Plantation,1638,Agriculture
Argentina,"Bank of the Province of Buenos Aires
",1822,Banking & Finance 
Bolivia,Banco Nacional de Bolivia,1871,Banking & Finance 
Brazil,Casa da Moeda do Brasil,1694,Manufacturing & Production (Mint)
Chile,Famae,1811,Defense
Colombia,Casa de Moneda de Colombia,1621,Manufacturing & Production (Mint)
Ecuador,NULL,NULL,NULL
Guyana,Banks DIH,1840,Food & Beverages
Paraguay,NULL,NULL,NULL
Peru,Casa Nacional de Moneda,1565,Banking & Finance 
Suriname,NULL,NULL,NULL
Uruguay,Cafe Brasilero,1877,Service Industries 
Venezuela,Hacienda Chuao,1660,Food & Beverages
Australia,Australia Post,1809,Postal Service
"Micronesia, Federated States of",NULL,NULL,NULL
Fiji,NULL,NULL,NULL
Kiribati,NULL,NULL,NULL
Marshall Islands,NULL,NULL,NULL
Nauru,NULL,NULL,NULL
New Zealand,Bank of New Zealand,1861,Banking & Finance 
Palau,NULL,NULL,NULL
Papua New Guinea,NULL,NULL,NULL
Samoa,NULL,NULL,NULL
Solomon Islands,NULL,NULL,NULL
Tonga,NULL,NULL,NULL
Tuvalu,NULL,NULL,NULL
Vanuatu,European Trust Company,1991,Banking & Finance 